출동서센터,출동차수,차량호수,차량동태,진행일시,관제일련번호,관제진행일시,관제내역
칠성119안전센터,1,1000000719,출동보고,2024-08-01 2:04,21,2024-08-01 2:04,[칠성119-칠성펌프(펌프차)][AVL 입력자(칠성펌프)]출동보고
칠성119안전센터,1,1000000719,현장도착보고,2024-08-01 2:08,54,2024-08-01 2:08,[칠성119-칠성펌프(펌프차)]현장도착보고
칠성119안전센터,1,1000000770,현장도착보고,2024-08-01 2:08,50,2024-08-01 2:08,[칠성119-칠성고가(53m)(고가차)]현장도착보고
칠성119안전센터,1,1000000947,현장도착보고,2024-08-01 2:08,52,2024-08-01 2:08,[칠성119-칠성탱크(탱크차)]현장도착보고
칠성119안전센터,1,1000000947,출동보고,2024-08-01 2:04,19,2024-08-01 2:04,[칠성119-칠성탱크(탱크차)][AVL 입력자(칠성탱크)]출동보고
칠성119안전센터,1,1000001046,현장도착보고,2024-08-01 2:08,55,2024-08-01 2:08,[칠성119-칠성화학(화학차)]현장도착보고
칠성119안전센터,1,1000001046,출동보고,2024-08-01 2:03,18,2024-08-01 2:03,[칠성119-칠성화학(화학차)][AVL 입력자(칠성화학)]출동보고
칠성119안전센터,1,1000001053,출동보고,2024-08-01 2:04,26,2024-08-01 2:04,[칠성119-칠성소형사다리(18m)(고가차)][AVL 입력자(칠성소형사다리(18m))]출동보고
칠성119안전센터,1,1000001053,현장도착보고,2024-08-01 2:08,49,2024-08-01 2:08,[칠성119-칠성소형사다리(18m)(고가차)][AVL 입력자(칠성소형사다리(18m))]현장도착보고
칠성119안전센터,1,1000001084,현장도착보고,2024-08-01 2:08,53,2024-08-01 2:08,[칠성119-칠성조연(특수차)]현장도착보고
침산119안전센터,1,1000000896,현장도착보고,2024-08-01 2:07,44,2024-08-01 2:07,[침산119-침산펌프(호)(펌프차)][AVL 입력자(침산펌프(호))]현장도착보고
침산119안전센터,1,1000001047,현장도착보고,2024-08-01 2:03,14,2024-08-01 2:03,[침산119-침산탱크(탱크차)][AVL 입력자(침산탱크)]현장도착보고
현장지휘단,1,1000000761,출동보고,2024-08-01 2:04,29,2024-08-01 2:04,[현장지휘단-북부현장지휘(지휘차)][AVL 입력자(북부현장지휘)]출동보고
현장지휘단,1,1000000761,현장도착보고,2024-08-01 2:08,56,2024-08-01 2:08,[현장지휘단-북부현장지휘(지휘차)][AVL 입력자(북부현장지휘)]현장도착보고
달서구조대,1,1000001048,출동보고,2024-08-01 2:10,5,2024-08-01 2:10,[달서구조대-달서구조공작(구조대차)][AVL 입력자(달서구조공작)]출동보고
죽전119안전센터,1,1000000837,출동보고,2024-08-01 2:09,4,2024-08-01 2:09,[죽전119-죽전펌프(펌프차)][AVL 입력자(죽전펌프)]출동보고
수성구급대,1,1000001163,출동보고,2024-08-01 2:17,4,2024-08-01 2:17,[수성구급대-수성본대1차(구급차)][AVL 입력자(수성본대1차)]출동보고
수성구급대,1,1000001163,현장도착보고,2024-08-01 2:20,5,2024-08-01 2:20,[수성구급대-수성본대1차(구급차)][AVL 입력자(수성본대1차)]현장도착보고
송현119안전센터,1,1000001067,출동보고,2024-08-01 2:16,6,2024-08-01 2:16,[송현119-송현구급(구급차)][AVL 입력자(송현구급)]출동보고
송현119안전센터,1,1000001067,현장도착보고,2024-08-01 2:18,7,2024-08-01 2:18,[송현119-송현구급(구급차)][AVL 입력자(송현구급)]현장도착보고
구지119안전센터,1,1000001146,현장도착보고,2024-08-01 2:24,4,2024-08-01 2:24,[구지119-구지구급(구급차)][AVL 입력자(구지구급)]현장도착보고
구지119안전센터,1,1000001146,출동보고,2024-08-01 2:21,3,2024-08-01 2:21,[구지119-구지구급(구급차)][AVL 입력자(구지구급)]출동보고
대현119안전센터,1,1000001206,출동보고,2024-08-01 2:23,4,2024-08-01 2:23,[대현119-대현구급(구급차)][AVL 입력자(대현구급)]출동보고
대현119안전센터,1,1000001206,현장도착보고,2024-08-01 2:27,7,2024-08-01 2:27,[대현119-대현구급(구급차)][AVL 입력자(대현구급)]현장도착보고
무태119안전센터,1,1000000993,현장도착보고,2024-08-01 2:28,5,2024-08-01 2:28,[무태119-무태구급(구급차)][AVL 입력자(무태구급)]현장도착보고
무태119안전센터,1,1000000993,출동보고,2024-08-01 2:26,4,2024-08-01 2:26,[무태119-무태구급(구급차)][AVL 입력자(무태구급)]출동보고
수성119안전센터,1,1000000917,출동보고,2024-08-01 2:28,3,2024-08-01 2:28,[수성119-수성펌프(카)(펌프차)][AVL 입력자(수성펌프(카))]출동보고
비산119안전센터,1,1000001151,출동보고,2024-08-01 2:30,6,2024-08-01 2:30,[비산119-비산구급(구급차)][AVL 입력자(비산구급)]출동보고
비산119안전센터,1,1000001151,현장도착보고,2024-08-01 2:34,9,2024-08-01 2:34,[비산119-비산구급(구급차)][AVL 입력자(비산구급)]현장도착보고
서부구급대,2,1000001152,출동보고,2024-08-01 2:31,8,2024-08-01 2:31,[서부구급대-서부특별(구급차)][AVL 입력자(서부특별)]출동보고
서부구급대,2,1000001152,현장도착보고,2024-08-01 2:36,12,2024-08-01 2:36,[서부구급대-서부특별(구급차)][AVL 입력자(서부특별)]현장도착보고
동촌119안전센터,1,1000001037,출동보고,2024-08-01 2:33,5,2024-08-01 2:33,[동촌119-동촌펌프(호)(펌프차)][AVL 입력자(동촌펌프(호))]출동보고
동촌119안전센터,1,1000001037,현장도착보고,2024-08-01 2:37,6,2024-08-01 2:37,[동촌119-동촌펌프(호)(펌프차)][AVL 입력자(동촌펌프(호))]현장도착보고
달서구급대,1,1000001255,출동보고,2024-08-01 2:36,4,2024-08-01 2:36,[달서구급대-달서본대1차(구급차)][AVL 입력자(달서본대1차)]출동보고
달서구급대,1,1000001255,현장도착보고,2024-08-01 2:38,5,2024-08-01 2:38,[달서구급대-달서본대1차(구급차)][AVL 입력자(달서본대1차)]현장도착보고
동촌119안전센터,1,1000001079,출동보고,2024-08-01 2:40,5,2024-08-01 2:40,[동촌119-동촌구급(구급차)][AVL 입력자(동촌구급)]출동보고
동촌119안전센터,1,1000001079,현장도착보고,2024-08-01 2:43,6,2024-08-01 2:43,[동촌119-동촌구급(구급차)][AVL 입력자(동촌구급)]현장도착보고
복현119지역대,1,1000001077,출동보고,2024-08-01 2:40,5,2024-08-01 2:40,[복현지역대-복현구급(구급차)][AVL 입력자(복현구급)]출동보고
복현119지역대,1,1000001077,현장도착보고,2024-08-01 2:44,6,2024-08-01 2:44,[복현지역대-복현구급(구급차)][AVL 입력자(복현구급)]현장도착보고
중부구급대,1,1000001073,현장도착보고,2024-08-01 3:01,6,2024-08-01 3:01,[중부구급대-중부본대1차(구급차)][AVL 입력자(중부본대1차)]현장도착보고
중부구급대,1,1000001073,출동보고,2024-08-01 2:58,5,2024-08-01 2:58,[중부구급대-중부본대1차(구급차)][AVL 입력자(중부본대1차)]출동보고
동부구급대,1,1000001165,현장도착보고,2024-08-01 3:11,5,2024-08-01 3:11,[동부구급대-동부본대1차(구급차)][AVL 입력자(동부본대1차)]현장도착보고
동부구급대,1,1000001165,출동보고,2024-08-01 3:04,4,2024-08-01 3:04,[동부구급대-동부본대1차(구급차)][AVL 입력자(동부본대1차)]출동보고
서문로119안전센터,1,1000001074,현장도착보고,2024-08-01 3:17,6,2024-08-01 3:17,[서문로119-서문로구급(구급차)][AVL 입력자(서문로구급)]현장도착보고
서문로119안전센터,1,1000001074,출동보고,2024-08-01 3:11,5,2024-08-01 3:11,[서문로119-서문로구급(구급차)][AVL 입력자(서문로구급)]출동보고
봉덕119안전센터,1,1000001158,출동보고,2024-08-01 3:11,3,2024-08-01 3:11,[봉덕119-봉덕구급(구급차)][AVL 입력자(봉덕구급)]출동보고
봉덕119안전센터,1,1000001158,현장도착보고,2024-08-01 3:16,4,2024-08-01 3:16,[봉덕119-봉덕구급(구급차)][AVL 입력자(봉덕구급)]현장도착보고
달성구급대,1,1000001203,출동보고,2024-08-01 3:12,4,2024-08-01 3:12,[달성구급대-달성본대1차(구급차)][AVL 입력자(달성본대1차)]출동보고
달성구급대,1,1000001203,현장도착보고,2024-08-01 3:17,5,2024-08-01 3:17,[달성구급대-달성본대1차(구급차)][AVL 입력자(달성본대1차)]현장도착보고
만촌119안전센터,1,1000001217,출동보고,2024-08-01 3:17,5,2024-08-01 3:17,[만촌119-만촌특별구급(구급차)][AVL 입력자(만촌특별구급)]출동보고
만촌119안전센터,1,1000001217,현장도착보고,2024-08-01 3:23,7,2024-08-01 3:23,[만촌119-만촌특별구급(구급차)][AVL 입력자(만촌특별구급)]현장도착보고
119특수구조대,1,1000001089,출동보고,2024-08-01 3:24,13,2024-08-01 3:24,[119특수구조대-드론관제지휘(특수구조대차)][AVL 입력자(드론관제지휘)]출동보고
119특수구조대,1,1000001245,출동보고,2024-08-01 3:26,37,2024-08-01 3:26,[119특수구조대-특구대구조공작(구조대차)][AVL 입력자(특구대구조공작)]출동보고
강북구급대,1,1000001208,출동보고,2024-08-01 3:26,30,2024-08-01 3:26,[강북구급대-강북본대1차(구급차)][AVL 입력자(강북본대1차)]출동보고
강북구급대,1,1000001208,현장도착보고,2024-08-01 3:30,57,2024-08-01 3:30,[강북구급대-강북본대1차(구급차)][AVL 입력자(강북본대1차)]현장도착보고
강북구조대,1,1000001232,현장도착보고,2024-08-01 3:29,54,2024-08-01 3:29,[강북구조대-강북구조공작(구조대차)][AVL 입력자(강북구조공작)]현장도착보고
